,accurate_pass,corners,fouls,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,551,3,7,3,61.4,0,2,4,1,668,19,1
1,464,8,11,2,63.3,0,2,9,2,530,23,0
2,258,2,16,6,38.7,0,2,1,1,355,30,3
3,508,7,12,4,55.2,0,2,12,0,573,17,0
4,343,2,12,1,41.5,0,1,2,1,409,21,4
5,643,9,11,3,62.5,0,2,6,5,701,5,2
6,673,2,7,2,71.5,1,2,8,0,757,17,1
7,683,15,7,2,73.7,0,2,8,5,744,9,1
8,294,8,12,2,41.6,0,2,3,1,378,22,5
9,348,2,14,2,47,0,2,1,3,441,29,4
10,491,13,8,2,64.5,0,2,7,2,576,27,0
11,351,7,14,1,48.3,1,1,3,2,425,21,5
12,507,7,13,2,63,0,2,3,7,602,24,2
13,444,5,13,2,59.6,0,2,3,0,538,18,3
14,549,8,10,0,65.9,0,1,8,0,617,25,2
15,492,6,14,1,60.8,0,1,2,3,570,15,2
16,512,2,13,5,54.6,0,2,8,3,596,12,0
17,367,5,4,2,49.2,0,2,5,2,452,37,0
18,304,1,9,3,38.7,0,2,3,3,380,17,1
19,296,1,12,1,42.8,0,1,1,2,416,29,0
20,473,8,8,2,64.7,0,2,13,1,577,21,0
21,382,3,10,3,53.8,0,0,9,0,499,29,1
22,533,10,6,1,66.5,0,0,13,4,627,25,3
23,342,6,13,1,47.8,0,1,1,1,433,24,4
24,329,6,6,1,60.1,0,2,6,3,470,17,1
25,315,4,10,1,55.1,0,2,4,1,429,16,4
26,466,3,12,1,61.7,0,2,8,1,556,24,2
27,546,9,5,2,60.5,0,2,6,2,635,10,1
28,427,6,11,3,57.1,0,2,2,1,542,21,2
29,559,4,11,0,59.5,1,0,4,1,623,16,2
30,335,2,11,0,43,0,1,2,0,447,24,3
31,572,11,12,3,64.6,0,2,7,1,617,9,2
32,482,9,10,1,60.9,0,1,8,2,605,14,3
33,202,3,13,1,29.6,0,2,2,2,283,29,3
34,496,6,1,3,62.9,0,2,5,3,609,8,0
35,432,10,8,1,56.1,0,2,8,2,505,11,3
36,474,7,9,1,61,1,1,6,3,585,28,1
37,415,7,7,2,49,0,2,4,4,501,16,2
38,347,4,15,2,52,1,1,5,2,433,16,1
39,367,1,13,0,50.8,0,0,4,3,443,20,2
40,438,7,5,1,54,0,1,4,8,525,26,0
41,399,9,10,0,63.2,0,0,8,1,488,19,1
42,252,4,9,0,42.3,0,1,3,4,360,23,2
43,517,6,4,1,64.4,0,2,9,6,606,19,1
44,222,3,6,0,33.2,0,1,5,0,312,26,2
45,472,7,13,1,53.4,0,2,3,7,549,23,3
46,445,11,10,0,62.9,0,0,9,2,524,21,2
47,420,8,8,1,65.6,0,0,3,2,522,14,0
48,430,7,13,2,61.1,0,1,8,1,528,13,3
49,454,9,7,2,62.4,0,1,8,2,544,21,1
50,460,7,13,0,55,0,1,3,2,555,22,1
51,465,8,11,5,54.9,0,2,4,2,555,21,0
52,488,7,15,3,60.2,0,2,2,0,593,23,0
53,489,2,12,3,67.2,0,2,6,0,577,17,1
54,494,6,12,3,54.9,0,1,3,3,569,26,1
55,326,10,6,1,49.3,0,1,6,1,413,23,0
56,434,11,12,0,51.8,1,0,3,5,529,20,2
57,560,3,9,2,68.6,1,0,0,1,652,15,1
58,283,7,9,2,47.3,0,1,5,3,366,24,3
59,473,7,4,4,54.7,0,2,4,3,560,24,0
60,404,7,12,3,56.1,1,2,7,1,496,9,1
61,487,7,9,1,63.7,0,0,9,0,582,16,1
62,493,14,12,1,61.2,0,0,6,2,561,21,2
63,547,5,12,2,62.9,0,2,6,0,628,23,3
64,429,6,15,2,64.5,0,1,8,3,532,27,2
65,435,4,14,1,60.2,0,0,4,1,551,22,2
66,306,4,22,2,49,0,2,3,1,415,31,1
67,365,4,12,1,54.5,1,0,5,5,457,18,5
68,326,1,9,1,42.6,0,0,2,3,418,35,1
69,357,8,9,1,48.7,0,1,8,3,441,18,1
70,576,8,11,2,65.4,0,2,9,2,660,13,1
71,429,10,13,2,59.4,0,1,11,1,534,18,3
72,427,4,5,2,53,0,2,4,2,520,22,2
73,515,9,13,0,60.7,0,0,3,3,616,17,4
74,363,3,12,1,44.7,0,1,3,2,446,23,1
75,524,2,8,4,58.3,0,2,3,3,604,21,1
76,480,7,16,2,61.7,0,2,6,1,556,18,5
77,587,11,8,5,70.5,0,2,12,0,643,16,1
78,488,5,10,2,62.4,0,2,6,2,560,17,3
79,545,9,6,3,60.1,0,2,7,1,626,9,2
80,416,11,9,2,55.1,0,1,12,3,488,18,4
81,474,6,6,1,52.7,0,0,3,6,540,18,1
82,447,1,11,0,50.5,0,0,5,2,538,21,2
83,460,7,15,2,59.1,0,2,9,0,554,19,2
84,364,5,7,4,43.9,0,2,3,2,447,18,3
85,458,8,6,3,54.9,0,2,6,0,553,19,1
